code;priority;logo;libelle;vue;type;cal;totalpts;pts
1.12.1;109;img-elite;Elite Nationale;G,E,O1;LIGNE;NAT;7569;2000,1100,800,700,600,500,400,200,150,100,95,85,74,70,66,62,58,55,52,49,46,43,40,38,36,34,32,30,28,26
1.12.4;108;img-elite;Elite Open 1;G,E,O1;LIGNE;REG;1911;600,300,230,150,110,80,60,55,48,44,40,38,32,28,25,20,17,14,12,8
1.12.5;105;img-elite;Elite Open 1/2;G,E,O1,O2;LIGNE;REG;1911;600,300,230,150,110,80,60,55,48,44,40,38,32,28,25,20,17,14,12,8
1.12.6;106;img-elite;Elite Open 1/2/3;G,E,O1,O2,O3;LIGNE;REG;1911;600,300,230,150,110,80,60,55,48,44,40,38,32,28,25,20,17,14,12,8
1.12.7;107;img-elite;Elite Open 1/2/3 Access;G,E,O1,O2,O3,A;LIGNE;REG;1911;600,300,230,150,110,80,60,55,48,44,40,38,32,28,25,20,17,14,12,8
1.13;113;img-u23;Federale U23 Espoirs;G,U23;LIGNE;NAT;3561;1000,560,400,350,300,250,200,100,75,50,45,40,35,30,28,25,22,20,17,14
1.14;112;img-u19;Federale U19 Juniors;G,U19;LIGNE;NAT;970;300,185,115,75,55,40,32,28,26,24,22,20,18,16,14
1.24.0;100;img-open12;Open 1/2;G,O1,O2;LIGNE;REG;970;300,185,115,75,55,40,32,28,26,24,22,20,18,16,14
1.24.1;101;img-open123;Open 1/2/3;G,O1,O2,O3;LIGNE;REG;970;300,185,115,75,55,40,32,28,26,24,22,20,18,16,14
1.24.2;102;img-open123;Open 1/2/3/Access;G,O1,O2,O3,A;LIGNE;REG;970;300,185,115,75,55,40,32,28,26,24,22,20,18,16,14
1.25.0;103;img-open23;Open 2/3 Access;G,O2,O3,A;LIGNE;REG;643;200,125,75,50,35,25,20,17,15,14,13,12,10,9,8,5,4,3,2,1
1.25.1;104;img-open3;Open 3 Access;G,O3,A;LIGNE;REG;407;100,60,40,30,26,24,22,20,18,16,14,12,10,8,7
1.28;111;img-u23;U23 Espoirs;G,U23;LIGNE;REG;970;300,185,115,75,55,40,32,28,26,24,22,20,18,16,14
1.31;114;img-u17;U17 Cadets;G,U17;LIGNE;REG;301;70,45,30,20,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1.32;110;img-u19;U19 Juniors;G,U19;LIGNE;REG;407;100,60,40,30,26,24,22,20,18,16,14,12,10,8,7
1.40;115;img-elite;Circuit Ferme;G,E,O1;LIGNE;NAT;2271;700,400,250,200,150,100,70,60,50,45,40,35,32,29,26,23,20,17,14,10
2.12.1E;218;img-elite;Elite Nationale Etape;G,E,O1;ETAPE;NAT;3545;1000,560,400,350,300,250,200,100,75,50,48,42,35,33,32,16,15,14,13,12
2.12.1G;219;img-elite;Elite Nationale General;G,E,O1;ETAPE;NAT;15090;4000,2200,1600,1400,1200,1000,800,400,300,200,170,150,140,130,125,120,115,110,105,100,95,90,85,80,75,70,65,60,55,50
2.12.4E;216;img-elite;Elite Open 1 Etape;G,E,O1;ETAPE;REG;628;200,125,75,50,35,25,20,17,15,14,13,12,10,9,8
2.12.4G;217;img-elite;Elite Open 1 General;G,E,O1;ETAPE;REG;2326;800,400,300,200,135,110,85,75,50,40,30,25,22,20,19,5,4,3,2,1
